it;exchange;exchange;exchange;exchangeRand;exchangeRand;exchangeRand;swap;swap;swap;inversion;inversion;inversion;scramble;scramble;scramble;randShuffle;randShuffle;randShuffle;add;add;add;addRand;addRand;addRand
312;18;1032,75;1011,34;35;1032,75;1008,3;32;1032,75;993,493;24;1032,72;970,64;32;1032,75;984,584;38;1032,75;849,81;25;1032,75;1006,75;36;1032,75;1002,49
313;29;1032,75;1006,19;32;1032,75;1007,91;17;1032,75;1004,82;27;1032,75;981,41;39;1032,75;979,593;24;1032,75;846,968;32;1032,75;1003,92;40;1032,75;988,745
314;31;1032,75;1008,91;28;1032,75;1000,45;19;1032,75;1006,69;28;1032,75;972,076;34;1032,75;984,812;37;1032,75;848,643;28;1032,75;1005,09;35;1032,75;1003,86
315;34;1032,75;1020,02;32;1032,75;993,003;30;1032,75;1002,91;21;1032,75;977,246;35;1032,75;967,53;31;1032,75;875,719;28;1032,75;1003,47;29;1032,75;995,862
316;22;1032,75;1027,12;32;1032,75;990,417;21;1032,75;1006,23;20;1032,75;983,962;38;1032,75;981,131;36;1032,75;837,702;34;1032,75;1005,2;37;1032,75;1010,98
317;21;1032,75;1017,5;38;1032,75;981,623;31;1032,75;996,736;24;1032,76;989,496;33;1032,76;968,582;32;1032,75;851,452;30;1032,75;999,767;31;1032,75;999,432
318;30;1032,75;1009,72;27;1032,76;1014,73;32;1032,75;1001,28;24;1032,75;982,506;33;1032,75;975,286;32;1032,76;863,685;28;1032,76;1005,21;34;1032,76;1005,46
319;21;1032,76;1016,3;36;1032,75;998,995;22;1032,76;1005,78;26;1032,75;980,542;33;1032,75;966,58;41;1032,76;847,932;37;1032,76;1013,66;24;1032,75;1005,45
320;28;1032,76;1014,54;31;1032,76;1005,09;25;1032,76;1008,7;30;1032,76;983,421;39;1032,76;990,332;29;1032,76;868,663;33;1032,76;1008,59;25;1032,75;994,248
321;17;1032,76;1027,47;29;1032,75;995,26;27;1032,76;1002,48;24;1032,76;991,356;39;1032,76;989,021;37;1032,76;850,945;36;1032,76;1010,1;31;1032,76;998,468
322;34;1032,76;1005,68;31;1032,76;997,585;23;1032,76;1006,89;24;1032,76;993,612;32;1032,76;981,736;37;1032,76;855,591;35;1032,76;1010,11;24;1032,76;996,502
323;23;1032,76;1028,39;39;1032,76;994,646;27;1032,76;1012,94;27;1032,76;978,417;45;1032,76;962,678;37;1032,76;889,542;24;1032,76;1004,42;18;1032,76;994,926
324;23;1032,76;1026,85;30;1032,76;999,861;31;1032,76;1007,34;24;1032,76;985,059;31;1032,76;980,435;39;1032,76;863,028;35;1032,76;1008,14;27;1032,76;1010,8
325;23;1032,76;1012,23;22;1032,76;1004,33;21;1032,76;1015,3;29;1032,76;982,453;37;1032,76;974,241;36;1032,76;866,81;32;1032,76;1012,76;40;1032,76;1002,83
326;20;1032,76;1008,93;31;1032,76;997,471;26;1032,76;1007,26;24;1032,76;990,316;37;1032,76;967,999;42;1032,76;884,008;30;1032,76;1014,51;30;1032,76;1010,84
327;20;1032,76;1028,95;20;1032,76;1004,48;27;1032,76;1004,06;34;1032,76;983,584;35;1032,76;974,85;36;1032,76;868,256;38;1032,76;1010,66;30;1032,76;1003,87
328;26;1032,76;1027,89;20;1032,76;1007,53;33;1032,76;1015,01;29;1032,76;974,724;41;1032,76;971,6;35;1032,76;833,105;28;1032,76;1005,02;28;1032,76;999,431
329;26;1032,76;1016,5;36;1032,76;995,214;28;1032,77;990,658;28;1032,76;983,755;41;1032,76;982,754;25;1032,76;847,718;28;1032,76;1002,41;28;1032,76;1006,32
330;28;1032,76;1020,78;23;1032,76;999,23;26;1032,76;1007,69;24;1032,76;994,258;36;1032,76;973,898;28;1032,76;828,416;38;1032,76;1003,14;37;1032,76;1007,39
331;30;1032,77;1013,59;43;1032,76;1000,07;24;1032,76;993,425;30;1032,76;976,4;36;1032,76;976,87;27;1032,76;878,581;21;1032,76;1007,26;29;1034,74;1013,31
332;26;1032,76;1022,32;28;1032,76;1010,99;33;1032,76;1013,01;14;1034,74;979,59;34;1032,76;983,574;42;1032,76;871,858;34;1034,74;1016,45;29;1032,76;1002,74
333;20;1034,74;1022,6;30;1032,76;1000,41;18;1034,74;996,036;30;1032,76;992,024;46;1034,74;991,256;30;1034,74;821,64;37;1034,74;1008,71;29;1034,74;1009,18
334;27;1034,74;1011,27;38;1034,74;1008,72;27;1034,74;994,747;21;1034,74;973,221;39;1034,74;979,884;23;1034,74;850,798;30;1034,74;1016,11;35;1034,74;1002,22
335;27;1034,74;1029,79;20;1034,74;1002,2;23;1034,74;1000,53;31;1034,74;985,421;32;1034,74;982,44;38;1034,74;882,647;33;1034,74;1019,01;36;1034,74;1010,56
336;23;1034,74;1027,72;25;1034,74;1014,64;19;1034,74;1019,62;31;1034,74;1000,11;45;1034,74;974,23;37;1034,74;835,555;34;1034,74;1010,59;26;1034,74;1005,62
337;23;1034,74;1027,29;33;1034,74;1001,29;25;1034,74;1004,54;30;1034,74;999,06;31;1034,74;970,403;31;1034,74;840,412;37;1034,74;1005,94;30;1034,74;1003,19
338;24;1034,74;1011,98;23;1034,74;1008,33;23;1034,76;1009,36;30;1034,74;978,432;40;1034,74;989,971;39;1034,74;885,579;31;1034,74;1012,32;30;1034,74;1014,82
339;19;1034,74;1022,79;40;1034,74;1005,46;31;1034,74;1015,23;24;1034,76;983,937;34;1034,74;991,839;30;1034,74;838,342;37;1034,74;1012,41;25;1034,74;1021,15
340;27;1034,74;1020,52;32;1034,74;1010,61;22;1034,74;1004,05;31;1034,74;995,235;30;1034,74;966,303;33;1034,74;851,98;33;1034,74;1015,09;32;1034,74;1001,2
341;27;1034,74;1022,96;30;1034,74;993,777;24;1034,74;1013,31;24;1034,74;988,193;40;1034,74;981,532;34;1034,74;845,314;33;1034,74;1026,68;28;1034,74;1008,92
342;31;1034,74;1017,69;32;1034,74;1007,06;22;1034,74;1009,54;26;1034,74;991,661;42;1034,74;999,646;28;1034,74;851,109;28;1034,74;1009,76;31;1034,74;998,141
343;27;1034,74;1021,25;28;1034,74;1005,19;30;1034,74;1003,39;29;1034,74;980,333;34;1034,74;987,119;40;1034,74;868,947;23;1034,74;1014,77;29;1034,74;1023,65
344;28;1034,74;1030,69;28;1034,74;1007,46;24;1034,74;1017,42;25;1034,74;994,596;36;1034,74;971,047;39;1034,74;869,66;32;1034,74;1008,6;28;1034,74;1014,26
345;22;1034,74;1021,06;29;1034,74;1016,74;27;1034,74;1004,64;24;1034,74;981,657;42;1034,74;984,365;35;1034,74;853,606;36;1034,74;1021,49;25;1034,74;1010,1
346;19;1034,74;1015,82;30;1034,74;1012,42;26;1034,74;1007,33;26;1034,74;969,396;42;1034,74;992,177;36;1034,74;848,271;24;1034,74;1014,64;37;1034,74;1018,39
347;25;1034,74;1013,47;34;1034,74;1000,26;30;1034,74;1006,55;31;1034,74;987,364;33;1034,74;976,668;32;1034,74;856,196;27;1034,74;1021,63;28;1034,74;1003,7
348;21;1034,74;1021,73;26;1034,74;990,725;20;1034,74;1023,18;27;1034,74;973,033;45;1034,74;983,993;35;1034,74;871,111;34;1034,74;1023,54;32;1034,74;1008,74
349;29;1034,74;1020,37;27;1034,74;1012,12;20;1034,74;1022,04;34;1034,74;994,272;45;1034,74;980,658;31;1034,74;831,461;31;1034,74;1019,3;23;1034,74;1013,29
350;32;1034,74;1002,11;33;1034,74;1017,72;23;1034,74;1013,66;28;1034,74;991,989;32;1034,74;996,199;35;1034,74;852,125;26;1034,74;1007,65;31;1034,74;1001,83
351;34;1034,74;1025,11;33;1034,74;1016,86;27;1034,74;1006,07;20;1034,74;990,92;42;1034,74;982,166;23;1034,74;840,442;31;1034,74;1022,82;30;1034,74;1009,49
352;23;1034,74;1028,57;27;1034,74;1016,31;27;1034,74;1020,06;24;1034,74;989,514;39;1034,74;976,995;36;1034,74;825,499;27;1034,74;1017,54;37;1034,74;1013,46
353;27;1034,74;1021,01;30;1034,74;1001,01;27;1034,75;1001,81;28;1034,74;991,895;31;1034,74;968,978;36;1034,74;867,668;35;1034,74;1020,02;26;1034,74;999,741
354;26;1034,75;1030,2;37;1034,74;1010,39;28;1034,74;1014,13;25;1034,74;968,603;25;1034,74;982,01;44;1034,74;871,452;26;1034,75;1012,97;29;1034,74;1004,04
355;30;1034,75;1025,03;32;1034,74;1007,32;26;1034,75;1005,68;20;1034,75;994,917;32;1034,74;976,076;38;1034,75;886,265;31;1034,75;1013,62;31;1034,74;1009,37
356;28;1034,75;1031,14;23;1034,74;1004,84;28;1034,81;1019,97;26;1034,75;994,347;48;1034,75;971,127;36;1034,75;828,457;27;1034,75;1018,86;24;1034,75;1020
357;18;1034,75;1014,19;22;1034,75;1007,25;25;1034,81;1000,73;32;1034,75;1000,48;32;1034,75;991,394;39;1034,75;857,376;37;1034,75;1004,04;35;1034,75;1000,82
358;24;1034,75;1031,14;34;1034,81;1009,21;26;1034,75;1016,53;24;1034,75;963,184;36;1034,75;997,904;32;1034,75;870,505;35;1034,75;1005,59;29;1034,75;1018,74
359;25;1034,75;1028,68;35;1034,81;1010,5;26;1034,81;1002,94;25;1034,75;981,723;43;1034,75;984,206;34;1034,75;869,614;26;1034,75;1021,75;26;1034,75;1012,68
360;30;1034,75;1030,93;30;1034,75;1013,22;25;1034,75;1001,04;25;1034,75;973,023;40;1034,81;981,428;24;1034,75;825,916;39;1034,81;1013,98;27;1034,75;1015,09
361;21;1034,75;1012,1;32;1034,81;1007,26;32;1034,75;1009,31;18;1034,75;977,21;34;1034,75;970,045;37;1034,75;830,028;35;1034,81;1017,2;31;1034,75;1012,66
362;26;1034,75;1022,87;21;1034,75;1009,71;32;1034,75;997,206;22;1034,75;965,705;38;1034,75;973,1;36;1034,75;862,105;30;1034,75;1020,59;35;1034,81;1014,6
363;32;1034,75;1028,4;34;1034,75;991,017;26;1034,75;1014,49;22;1034,75;987,405;32;1034,81;998,157;34;1034,75;849,823;31;1034,75;1023,98;29;1034,75;1010,53
364;22;1034,75;1029,9;32;1034,75;1015,06;20;1034,75;1019,82;31;1034,81;976,831;41;1034,75;990,341;42;1034,75;822,977;29;1034,75;1014,7;23;1034,75;998,166
365;21;1034,75;1022,95;21;1034,75;989,763;35;1034,75;982,625;32;1034,75;989,621;34;1034,75;962,216;34;1034,81;873,607;34;1034,75;1017,41;29;1034,75;1011,05
366;20;1034,75;1029,88;22;1034,75;1006,1;37;1034,75;1012,61;17;1034,75;1000,85;35;1034,75;986,934;37;1034,81;849,932;45;1034,75;1005,4;27;1034,75;1013,72
367;25;1034,75;1028,13;29;1034,75;1011,9;25;1034,75;1000,72;28;1034,81;984,485;35;1034,75;990,087;39;1034,75;874,679;28;1034,75;1014,7;31;1034,75;1002,73
368;31;1034,75;1024,9;26;1034,75;1011,91;32;1034,81;1012,28;20;1034,75;985,43;22;1034,75;977,852;43;1034,81;858,897;33;1034,75;1017,73;33;1034,75;1009,87
369;32;1034,75;1018,32;28;1034,75;1015,99;29;1034,75;1003,55;24;1034,75;999,222;36;1034,75;981,602;29;1034,75;844,151;35;1034,81;1018,2;27;1034,75;1008,61
370;32;1034,75;1016,71;32;1034,75;1010,77;30;1034,81;997,249;26;1034,75;983,854;36;1034,75;980,367;28;1034,75;854,205;31;1034,75;1021,58;25;1034,76;1022,02
371;29;1034,75;1017,69;27;1034,75;1010,93;35;1034,76;1002,62;27;1034,75;989,359;36;1034,76;991,53;27;1034,75;867,853;29;1034,75;1021,92;30;1034,75;1013,66
372;23;1034,75;1029,65;25;1034,75;998,382;23;1034,75;1013,45;30;1034,75;995,711;33;1034,75;981,683;34;1034,75;836,406;41;1034,75;1018,34;31;1034,75;1013,07
373;27;1034,75;1023,64;27;1034,75;1015,09;30;1034,75;1008,35;23;1034,75;986,455;35;1034,75;993,507;36;1034,75;861,066;29;1034,75;998,14;33;1034,75;996,851
374;29;1034,75;1017,39;39;1034,75;1007,42;25;1034,75;1008,37;20;1034,75;984,778;49;1034,75;972,576;26;1034,75;810,988;23;1034,75;1012,85;29;1034,75;1018,38
375;34;1034,75;1018,5;33;1034,75;998,872;18;1034,75;1005,29;23;1034,75;992,265;37;1034,75;981,508;30;1034,75;826,392;33;1034,75;1017,41;32;1034,75;1013,16
376;26;1034,75;1013,97;30;1034,75;1006,23;29;1034,75;1006,73;26;1034,75;969,727;37;1034,75;975,145;29;1034,75;842,019;29;1034,75;1014,93;34;1034,75;1006,65
377;31;1034,75;1030,32;28;1034,75;991,44;29;1034,76;1001,13;28;1034,75;973,004;40;1034,75;974,674;28;1034,75;838,853;26;1034,75;1014,32;30;1034,75;1016,52
378;24;1034,75;1022,64;33;1034,75;1003,75;30;1034,75;1010,64;28;1034,76;987,218;41;1034,75;961,81;28;1034,75;853,386;35;1034,75;1016,41;21;1034,76;1015,47
379;24;1034,75;1021,86;21;1034,76;1005,82;35;1034,75;1013,39;24;1034,76;993,975;41;1034,75;990,946;38;1034,75;864,95;29;1034,75;1006,63;28;1034,75;1017,85
380;34;1034,75;1024,71;31;1034,75;1004,13;21;1034,75;1017,17;22;1034,75;977,756;36;1034,75;992,263;39;1034,75;830,057;36;1034,75;1009,02;21;1034,75;1011,82
381;26;1032,77;1002,93;34;1034,75;995,184;31;1034,75;1003,02;24;1034,75;963,898;38;1034,75;985,154;23;1034,75;888,173;34;1034,75;1014,65;30;1034,75;1011,64
382;34;1034,75;1026,54;35;1034,75;1003,95;19;1034,75;1019,21;23;1034,75;989,202;25;1034,75;990,388;44;1034,75;864,776;34;1034,75;1021,7;26;1034,75;1015,97
383;32;1034,75;1026,16;28;1034,75;1005,26;19;1034,75;1009,78;28;1034,75;988,041;34;1034,75;986,314;38;1034,75;858,372;29;1034,75;1010,54;32;1034,75;1004,42
384;29;1034,75;1029,77;37;1034,75;1014,52;23;1034,75;1022,84;27;1034,75;957,265;25;1034,75;972,985;32;1034,75;844,04;31;1034,75;1004,87;36;1034,75;1008,82
385;27;1034,75;1006,29;33;1034,75;996,299;20;1034,76;1020,11;27;1034,75;994,648;32;1034,75;973,438;33;1034,75;861,994;34;1034,75;1012,02;34;1034,75;1011,89
386;20;1034,75;1029,12;27;1034,75;1011,41;28;1034,75;1009,82;26;1034,75;975,76;49;1034,75;975,564;34;1034,75;867,252;30;1034,76;1007,25;26;1034,75;1010,31
387;31;1034,75;1023,57;39;1034,75;996,188;20;1034,75;1011,9;30;1034,75;980,984;32;1034,76;988,283;31;1034,75;856,822;24;1034,75;1002,9;33;1034,75;1017,25
388;31;1034,75;1029,14;34;1034,75;991,991;26;1034,75;1016,75;21;1034,75;983,622;30;1034,75;997,983;42;1034,75;853,813;26;1034,75;1006,09;30;1034,75;1010,86
389;29;1034,75;1023,19;29;1034,75;1013,83;35;1034,75;1017,13;21;1034,75;978,102;28;1034,75;989,126;33;1034,75;867,391;29;1034,75;1009,04;36;1034,75;1002,52
390;29;1034,75;1022,44;31;1034,75;1013,12;24;1034,75;1012,11;26;1034,75;992,166;47;1034,75;981,482;40;1034,75;858,818;25;1034,75;1023,91;18;1034,75;991,75
391;25;1034,75;1031,45;28;1034,75;1010,35;36;1034,75;1011,49;23;1034,75;989,869;34;1034,75;982,431;32;1034,75;876,032;30;1034,75;1008,75;32;1034,75;1002,47
392;24;1034,75;1021,58;33;1034,75;1004,33;34;1034,75;1018,12;17;1034,75;983,125;45;1034,75;979,925;32;1034,75;870,269;23;1034,75;1011,92;32;1034,75;1017,03
393;20;1034,75;1013,5;34;1034,75;1011,54;27;1034,75;1002,16;18;1034,75;971,171;29;1034,75;993,634;48;1034,75;818,272;37;1034,75;1013,49;27;1034,75;1013,51
394;25;1034,75;1024,55;27;1034,75;1005,74;32;1034,75;998,895;28;1034,75;963,651;40;1034,75;979,463;26;1034,75;903,953;34;1034,75;991,249;28;1034,75;983,569
395;26;1034,75;1028,63;29;1034,75;1013,75;27;1034,75;1018,45;22;1034,75;960,244;38;1034,75;987,667;36;1034,75;847,944;26;1034,75;1016,43;36;1034,75;1013,73
396;26;1034,75;1022,86;29;1034,75;1003,83;32;1034,75;1005,57;32;1034,75;978,733;30;1034,75;994,116;31;1034,75;868,372;36;1034,75;1021,27;24;1034,75;993,786
397;25;1034,75;1022,79;33;1034,75;1011,41;31;1034,75;1006,83;28;1034,75;984,955;36;1034,75;986,378;31;1034,75;884,561;31;1034,75;1010,95;25;1034,75;1016,81
398;21;1034,75;1030,97;34;1034,75;1011,42;21;1034,75;1017,74;25;1034,75;991,235;36;1034,75;990,088;38;1034,75;882,701;39;1034,75;1019,15;26;1034,75;1018,87
399;25;1034,75;1030,19;32;1034,75;1007,98;25;1034,75;1011,1;30;1034,76;977,165;36;1034,75;991,88;32;1034,75;878,576;30;1034,75;1022,73;30;1034,75;1018,87
400;14;1034,75;1010,72;29;1034,75;1006,85;35;1034,75;1013,05;21;1034,75;993,072;34;1034,75;974,007;41;1034,75;864,585;35;1034,75;1023,83;31;1034,75;1017,59
401;24;1034,75;1023,63;41;1034,75;996,739;19;1034,75;1018,48;30;1034,75;976,983;31;1034,75;971,99;26;1034,75;840,456;37;1034,75;1014,45;32;1034,75;1008,19
402;28;1034,75;1011,2;34;1034,75;1008,03;15;1034,75;1018,22;33;1034,75;981,763;34;1034,75;979,118;33;1034,75;849,07;31;1034,75;1012,42;32;1034,75;1011,16
403;29;1034,75;1030,08;30;1034,75;999,71;28;1034,75;1009,85;22;1034,75;992,073;27;1034,75;980,168;24;1034,75;883,931;42;1034,75;1011,57;38;1034,75;1005,77
404;36;1034,75;1028,94;36;1034,75;1007,6;28;1034,75;1021,26;25;1034,75;968,879;35;1034,75;990,657;33;1034,75;854,469;24;1034,75;1021,02;23;1034,75;1001,11
405;27;1034,75;1014,73;37;1034,75;1015,33;29;1034,75;1019,67;21;1034,75;999,563;32;1034,75;987,861;26;1034,75;904,403;32;1034,75;1006,08;36;1034,75;1013,05
406;24;1034,75;1030,32;38;1034,75;1007,74;28;1034,75;1020,66;26;1034,75;965,773;39;1034,75;988,864;31;1034,75;876,89;31;1034,75;1021,22;23;1034,75;1021,59
407;28;1034,75;1024,53;26;1034,75;1012,74;30;1034,75;1017,88;26;1034,75;971,925;38;1034,75;984,29;32;1034,75;861,541;30;1034,75;1024,22;30;1034,75;1018,51
408;27;1034,75;1020,77;36;1034,75;998,052;30;1034,75;1008,16;26;1034,75;974,312;37;1034,75;984,201;34;1034,75;892,083;26;1034,75;1021,95;24;1034,75;1013,31
409;27;1034,75;1027,41;28;1034,75;1013,53;29;1034,75;1017,68;24;1034,75;983,293;39;1034,75;976,612;35;1034,75;868,194;28;1034,75;1022,67;30;1034,75;1009,94
410;33;1034,75;1019,02;32;1034,75;1013,17;19;1034,75;1020,81;30;1034,75;984,151;38;1034,75;985,997;28;1034,75;882,802;32;1034,75;1021,99;28;1034,75;1002,29
411;20;1034,75;1031,67;26;1034,75;1009,9;25;1034,75;1019,81;36;1034,75;983,033;33;1034,75;1005,31;39;1034,75;869,965;27;1034,75;1017,31;34;1034,75;1018,96
412;22;1034,75;1029,1;36;1034,75;1013,44;24;1034,76;1018,47;30;1034,75;970,756;29;1034,75;977,095;27;1034,75;885,431;47;1034,75;1018,38;25;1034,75;999,333
413;22;1034,75;1029,31;42;1034,75;1013,64;22;1034,75;1019,41;29;1034,75;980,83;33;1034,75;975,482;26;1034,76;902,778;36;1034,75;1016,46;30;1034,75;1017,79
414;23;1034,75;1027,5;33;1034,75;1008,93;25;1034,76;1019,01;31;1034,75;992,022;35;1034,75;980,279;28;1034,75;875,888;29;1034,75;1021,2;36;1034,75;1018,21
415;23;1034,75;1029,19;28;1034,75;1014,27;33;1034,76;1014,37;25;1034,75;999,489;33;1034,75;998,777;38;1034,75;869,67;31;1034,75;1015,24;29;1034,75;1004,27
416;33;1034,75;1026,43;35;1034,76;990,755;24;1034,75;1016,83;25;1034,75;987,464;28;1034,75;991,362;36;1034,75;818,786;26;1034,75;1021,74;33;1034,75;1013,6
417;32;1034,75;1017,36;30;1034,75;996,27;23;1034,76;1010,04;26;1034,75;978,254;35;1034,75;978,79;34;1034,75;846,967;31;1034,75;1011,36;29;1034,76;1003,08
418;18;1034,75;1020,71;33;1034,75;1014,6;28;1034,75;1008,44;23;1034,75;981,521;39;1034,75;976,694;44;1034,75;843,545;29;1034,75;1020,99;26;1034,75;998,98
419;26;1034,75;1020,89;34;1034,75;999,598;30;1034,75;1012,91;27;1034,75;975,819;36;1034,75;995,45;32;1034,75;823,609;22;1034,75;1005,46;33;1034,75;1000,18
420;24;1034,75;988,47;36;1034,75;1008,78;32;1034,75;1006,01;22;1034,75;981,903;46;1034,75;984,79;27;1034,75;843,492;29;1034,75;1016,02;24;1034,75;1016,45
421;29;1034,75;1028,02;30;1034,75;1010,3;26;1034,75;1004,25;22;1034,75;985,75;30;1034,75;999,998;33;1034,75;854,383;29;1034,75;1016,63;41;1034,75;1011,81
422;20;1034,75;1020,81;29;1034,75;1013,99;30;1034,75;1012,48;25;1034,75;985,383;35;1034,75;986,503;33;1034,75;848,411;35;1034,75;1015,57;33;1034,75;1014,56
423;24;1034,75;1030,4;32;1034,75;1016,73;26;1034,75;1011,53;30;1034,75;981,382;33;1034,75;995,412;39;1034,75;882,462;28;1034,75;1016,03;28;1034,75;998,414
424;26;1034,75;1031,85;36;1034,75;1011,51;19;1034,75;995,975;35;1034,75;985,971;43;1034,75;992,627;28;1034,75;869,451;21;1034,75;1022,28;32;1034,75;1017,24
425;22;1034,75;1031,28;31;1034,75;1016,15;26;1034,75;1018,01;17;1034,75;965,384;38;1034,75;973,965;41;1034,75;868,114;29;1034,75;1020,14;36;1034,75;1018,51
426;17;1034,75;1020,74;36;1034,75;1008,28;29;1034,75;1013,63;23;1034,75;980,204;24;1034,75;974,759;37;1034,75;839,043;32;1034,75;1017,35;42;1034,75;1017,54
427;24;1034,75;1021,95;30;1034,75;990,084;32;1034,75;1013,34;32;1034,75;991,732;29;1034,75;979,409;30;1034,75;859,295;32;1034,75;1016,66;31;1034,75;997,292
428;22;1034,75;1028,3;29;1034,75;1014,49;41;1034,75;1013,3;20;1034,75;1001,57;42;1034,75;978,568;34;1034,75;851,036;25;1034,75;1012,68;27;1034,75;1012,7
429;32;1034,75;1023,72;30;1034,75;1014,96;32;1034,75;1016,18;19;1034,75;981,461;37;1034,75;969,632;30;1034,75;857,465;26;1034,75;1006,81;34;1034,75;1016,4
430;33;1034,75;1023,85;24;1034,75;985,898;29;1034,75;1022,4;15;1034,75;989,349;32;1034,75;984,282;37;1034,75;874,423;31;1034,75;1013,03;39;1034,75;1022,24
431;27;1034,75;1015,29;38;1034,75;1011,26;24;1034,75;1016,89;23;1034,75;985,775;36;1034,75;971,451;36;1034,75;872,76;23;1034,75;1013,27;33;1034,75;1013,2
432;22;1034,75;1021,9;35;1034,75;1013,99;27;1034,75;1017,23;26;1034,75;983,175;44;1034,75;984,164;25;1034,75;862,624;35;1034,75;1017,15;26;1034,75;1007,7
433;23;1034,75;1029,66;39;1034,75;1005,44;21;1034,75;1020,29;23;1034,75;968,224;41;1034,75;994,986;40;1034,75;886,677;27;1034,75;1014,39;26;1034,75;1014,02
434;26;1034,75;1031,55;31;1034,75;1016,26;18;1034,75;1019,57;29;1034,75;978,223;36;1034,75;990,575;42;1034,75;838,003;32;1034,75;1012,45;26;1034,75;1014,52
435;27;1034,75;1016;27;1034,75;1013,16;17;1034,75;991,38;30;1034,75;981,726;47;1034,75;990,401;28;1034,75;849,722;35;1034,75;1018,68;29;1034,75;989,67
436;27;1034,75;1028,38;32;1034,75;1007,46;28;1034,75;1010,16;27;1034,75;985,355;32;1034,75;975,444;31;1034,75;856,962;30;1034,75;1010,62;33;1034,75;1009,7
437;29;1034,75;1013,96;27;1034,75;996,987;25;1034,75;1024,15;32;1034,75;984,437;36;1034,75;997,736;31;1034,75;873,988;26;1034,75;1013,5;34;1034,75;1017,07
438;26;1034,75;1028,22;34;1034,75;1006,5;23;1034,75;993,057;26;1034,75;999,502;38;1034,75;992,144;33;1034,75;863,664;34;1034,75;1019,86;26;1034,75;1015
439;26;1034,75;1007,95;30;1034,75;1010,01;22;1034,75;1019,48;21;1034,75;990,017;47;1034,76;993,902;37;1034,75;875,79;39;1034,75;1022,25;18;1034,75;1008,38
440;28;1034,75;1022,77;31;1034,75;1014,01;21;1034,75;1019,37;22;1034,75;986,411;35;1034,75;975,427;31;1034,75;857,549;38;1034,75;1019;34;1034,75;1007,73
441;29;1034,75;1029,69;37;1034,75;1010,46;27;1034,75;999,737;15;1034,75;993,667;27;1034,75;999,612;39;1034,75;858,712;31;1034,75;1020,75;35;1034,75;1000,19
442;25;1034,75;1031,65;28;1034,75;1007,32;37;1034,75;1013,73;22;1034,75;972,965;37;1034,75;992,252;37;1034,75;869,938;26;1034,75;1016,59;28;1034,75;1011,67
443;22;1034,75;1032;32;1034,75;996,134;22;1034,75;1015,93;31;1034,75;986,523;35;1034,75;992,496;37;1034,75;847,533;27;1034,75;1009,8;34;1034,75;1015,09
444;31;1034,75;1018,53;32;1034,75;1000,55;25;1034,75;1012,84;29;1034,75;995,968;38;1034,75;987,257;40;1034,75;855,481;26;1034,75;1011,33;19;1034,75;1018
445;34;1034,75;1023,24;26;1034,75;991,922;23;1034,75;1016,19;22;1034,75;1005,78;36;1034,75;979,878;36;1034,75;854,48;32;1034,75;998,546;31;1034,75;1007,68
446;27;1034,75;1023,71;29;1034,75;996,897;22;1034,75;1019,04;24;1034,75;986,113;38;1034,75;965,346;30;1034,75;882,089;32;1034,75;1015,8;38;1034,75;1007,8
447;34;1034,75;1024,03;30;1034,75;1010,48;30;1034,75;1014,04;21;1034,75;979,569;30;1034,75;973,936;38;1034,75;870,864;33;1034,75;1018,7;24;1034,75;1019,75
448;36;1034,75;1020,99;37;1034,75;1013,7;30;1034,75;1017,54;25;1034,76;994,003;30;1034,75;979,522;38;1034,75;868;22;1034,75;1011;22;1034,75;1022,4
449;29;1034,75;1005,67;33;1034,75;1013,88;20;1034,75;1020,79;26;1034,76;975,011;43;1034,75;989,419;38;1034,75;854,448;26;1034,75;1019,76;25;1034,75;1012,69
450;15;1034,75;1018,06;29;1034,75;1009,07;35;1034,76;1010,6;19;1034,75;979,539;26;1034,75;986,16;49;1034,75;844,955;35;1034,75;1012,44;32;1034,75;1011,42
451;25;1034,75;1014,27;30;1034,75;1011,58;31;1034,75;999,111;24;1034,75;980,403;34;1034,75;979,595;34;1034,75;849,126;35;1034,75;1020,19;27;1034,75;1003,34
452;29;1034,75;1023,24;30;1034,75;999,647;35;1034,75;1019,51;25;1034,75;975,014;29;1034,75;981,131;37;1034,75;843,896;29;1034,75;1008,64;26;1034,75;1006,6
453;21;1034,75;1017,28;32;1034,75;1002,9;29;1034,75;1006,57;27;1034,75;991,545;39;1034,75;982,182;37;1034,75;866,12;26;1034,75;1017,27;29;1034,75;1004,08
454;27;1034,75;1024,29;20;1034,75;1013,19;25;1034,75;1010,32;26;1034,76;969,456;38;1034,75;985,255;40;1034,75;887,01;32;1034,75;1017,71;32;1034,75;1008,2
455;20;1034,75;1028,56;36;1034,75;1004,49;22;1034,75;1016,69;27;1034,75;988,709;34;1034,75;994,268;35;1034,75;876,509;31;1034,75;1012,66;35;1034,75;1017,44
456;19;1034,75;1017,74;30;1034,75;1003,89;24;1034,75;1022,81;23;1034,75;978,763;53;1034,75;978,271;36;1034,75;851,478;22;1034,75;1019,81;33;1034,75;1011,77
457;31;1034,75;1008,62;23;1034,75;1010,02;26;1034,75;1000,94;28;1034,75;975,328;35;1034,75;991,406;37;1034,75;844,942;34;1034,75;1015,47;26;1034,75;1009,3
458;16;1034,75;1026,29;25;1034,75;999,859;33;1034,75;1012,92;32;1034,75;982,759;31;1034,75;971,213;38;1034,75;858,948;39;1034,75;1018,18;26;1034,75;1018,7
